timestamp,source_ip,method,target_url,status_code,bytes_sent,user_agent,attack_label
2025-04-08 09:25:21.102466,107.246.201.220,OPTIONS,https://victim.com/api,200,2427,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:00:17.102466,192.168.1.37,GET,https://victim.com/home,200,555,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-04-08 08:52:29.102466,120.154.181.19,GET,https://victim.com/login,404,4382,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:39:34.102466,192.60.19.234,OPTIONS,https://victim.com/api,200,899,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:15:56.102466,48.248.144.41,GET,https://victim.com/api,503,1029,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:35:11.102466,100.185.137.120,POST,https://victim.com/login,403,4774,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:29:20.102466,169.69.191.79,POST,https://victim.com/api,503,2997,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:35:03.102466,138.160.72.143,GET,https://victim.com/api,503,3157,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 08:52:39.102466,20.178.176.58,OPTIONS,https://victim.com/api,200,1081,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:18:42.102466,113.88.195.237,OPTIONS,https://victim.com/login,403,1536,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:30:25.102466,23.200.186.23,GET,https://victim.com/api,503,3554,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 08:55:44.102466,199.23.242.156,POST,https://victim.com/login,404,4693,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:16:38.102466,80.21.148.44,HEAD,https://victim.com/login,404,3605,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:11:52.102466,9.195.252.40,POST,https://victim.com/login,503,2198,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 08:56:28.102466,232.185.162.52,GET,https://victim.com/login,403,413,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:48:45.102466,196.166.109.123,HEAD,https://victim.com/api,503,4135,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:08:07.102466,218.127.155.93,POST,https://victim.com/login,404,156,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:28:23.102466,192.168.1.50,GET,https://victim.com/home,200,1399,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-04-08 09:33:21.102466,207.87.250.253,OPTIONS,https://victim.com/api,503,2523,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 08:55:36.102466,231.63.39.109,OPTIONS,https://victim.com/login,404,4607,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:15:11.102466,131.82.2.255,POST,https://victim.com/api,404,315,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 08:53:28.102466,241.86.119.196,HEAD,https://victim.com/login,404,1381,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:13:47.102466,192.168.1.34,GET,https://victim.com/home,200,1859,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-04-08 09:43:31.102466,43.103.45.14,OPTIONS,https://victim.com/api,404,4613,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 08:55:08.102466,218.31.30.141,GET,https://victim.com/login,200,4555,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:03:39.102466,122.14.115.231,HEAD,https://victim.com/api,503,217,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 08:53:58.102466,162.4.176.247,GET,https://victim.com/api,403,721,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:42:36.102466,106.252.175.28,HEAD,https://victim.com/api,403,1328,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:48:14.102466,100.35.80.117,OPTIONS,https://victim.com/api,404,2004,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:08:56.102466,234.31.104.215,OPTIONS,https://victim.com/api,503,2208,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:39:49.102466,6.182.216.213,HEAD,https://victim.com/api,404,581,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:44:55.102466,46.57.224.96,GET,https://victim.com/login,403,172,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 08:54:49.102466,12.166.253.97,HEAD,https://victim.com/api,503,709,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:22:55.102466,161.253.6.137,POST,https://victim.com/login,403,1406,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:08:07.102466,226.218.209.81,OPTIONS,https://victim.com/api,404,4301,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:22:43.102466,192.168.1.7,GET,https://victim.com/home,200,1168,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-04-08 09:25:41.102466,143.95.177.6,OPTIONS,https://victim.com/api,403,2524,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 08:53:07.102466,245.50.170.67,HEAD,https://victim.com/api,403,2756,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:27:27.102466,189.221.161.215,HEAD,https://victim.com/api,403,445,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:41:03.102466,192.168.1.38,GET,https://victim.com/home,200,1725,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-04-08 09:21:08.102466,190.246.100.203,OPTIONS,https://victim.com/api,404,2721,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
2025-04-08 09:13:37.102466,241.133.251.52,POST,https://victim.com/api,403,3853,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1
2025-04-08 09:33:37.102466,204.40.77.83,POST,https://victim.com/login,200,2896,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1
